a,method,n_geometries,ap,background_rmse,background_rmse_ratio,contrast_signed_bias,contrast_rmse,psnr
1.0,beta_0.2,100,0.5544931406957587,0.036198290405930145,0.7994614559669735,-0.0013676350706084434,0.004564502220337293,24.33359216424243
1.0,clean,100,0.9125579860298579,0.0,0.0,0.0,0.0,inf
1.0,fixed,100,0.8256137557807142,0.010920597627669441,0.24123409355541497,-0.005179914725442736,0.008135071724905076,34.70080321287665
1.0,noisy,100,0.42648298456976497,0.04527425593954018,1.0,-1.0154077310319709e-06,0.0042078425072995295,22.3904160137361
1.0,proposal,100,0.8360540074602787,0.0005963129585096439,0.013224230821122777,-0.00681535673062311,0.010058462192834674,52.879392958795336
1.0,tv,100,0.8297641766225232,0.008904895866000637,0.19624857695848946,-0.005476185534824485,0.00847216332089893,36.468920902166644
1.5,beta_0.2,100,0.5083536078561322,0.03620158043893375,0.799538973248501,-0.005737081251993638,0.007577786104312078,24.33233750259363
1.5,clean,100,0.9125579860298579,0.0,0.0,0.0,0.0,inf
1.5,fixed,100,0.6246027614425781,0.010897503161309285,0.2406860148650647,-0.02175202480722603,0.025047411592636862,34.632518932749406
1.5,noisy,100,0.42648298456976497,0.04527425593954018,1.0,-1.0154077310319709e-06,0.0042078425072995295,22.3904160137361
1.5,proposal,100,0.5851018886072656,0.0007691318601937316,0.016762682106691792,-0.02862076500277221,0.03284101741122381,47.75848788318536
1.5,tv,100,0.6234456080007368,0.008956775881720893,0.19740804837646192,-0.0229706641507673,0.026429848538399248,36.27437131162884
2.0,beta_0.2,100,0.4695387554016257,0.036207694825784634,0.7996844944805466,-0.008635933542513916,0.010051927043388986,24.33030394975841
2.0,clean,100,0.9125579860298579,0.0,0.0,0.0,0.0,inf
2.0,fixed,100,0.5005206076774474,0.010912699454307164,0.2410226972810207,-0.032759463333649104,0.03583640075441192,34.50936506844852
2.0,noisy,100,0.42648298456976497,0.04527425593954018,1.0,-1.0154077310319709e-06,0.0042078425072995295,22.3904160137361
2.0,proposal,100,0.39985626628863197,0.0010633267928924584,0.023421769730663303,-0.043104236915460996,0.047109195477649475,44.85117291066259
2.0,tv,100,0.49722348468674565,0.009018877897791542,0.19885289169458514,-0.034565569235491624,0.037806331504048066,36.03577466501233
