target,reference,metric,difference,ci_low,ci_high,n_geometries,stratum,analysis
tv,proposal,ap,0.043140368984609795,0.03965641550012702,0.04670734124563919,100,overall,primary
tv,fixed,ap,-0.00010128519691138927,-0.0005570152416836683,0.00036922112910902364,100,overall,secondary/exploratory
tv,noisy,background_rmse_ratio,-0.8024968276568211,-0.802791114162556,-0.8022113183411622,100,overall,secondary/exploratory
beta_0.2,proposal,ap,-0.0962088861342199,-0.10742108367894593,-0.08524232644108701,100,overall,secondary/exploratory
tv,proposal,ap,-0.0062898308377554776,-0.008438674302878006,-0.00433941231020518,100,a=1,secondary/exploratory
tv,fixed,ap,0.0041504208418089725,0.0032877030734378594,0.005090602702842462,100,a=1,secondary/exploratory
tv,noisy,background_rmse_ratio,-0.8037514230415103,-0.8041162514012327,-0.8033927870037164,100,a=1,secondary/exploratory
beta_0.2,proposal,ap,-0.2815608667645199,-0.3027389920987025,-0.26080581935397223,100,a=1,secondary/exploratory
tv,proposal,ap,0.03834371939347107,0.03496823274835872,0.04172373324203567,100,a=1.5,secondary/exploratory
tv,fixed,ap,-0.0011571534418413946,-0.0015748250509419722,-0.0006935052353735145,100,a=1.5,secondary/exploratory
tv,noisy,background_rmse_ratio,-0.802591951623538,-0.8029006277342731,-0.802287512560857,100,a=1.5,secondary/exploratory
beta_0.2,proposal,ap,-0.07674828075113352,-0.09019287372324708,-0.06388213674837717,100,a=1.5,secondary/exploratory
tv,proposal,ap,0.09736721839811374,0.09009166907437939,0.1047803466216359,100,a=2,secondary/exploratory
tv,fixed,ap,-0.0032971229907017884,-0.0037033312634276315,-0.0028666033765218585,100,a=2,secondary/exploratory
tv,noisy,background_rmse_ratio,-0.8011471083054147,-0.8014053363359375,-0.8009025359822581,100,a=2,secondary/exploratory
beta_0.2,proposal,ap,0.06968248911299373,0.056109954253194615,0.08288610184184068,100,a=2,secondary/exploratory
tv,proposal,ap,0.00042597173201859963,-0.00016040094984246789,0.0009921957568776022,100,"sigma=15,a=1",secondary/exploratory
tv,fixed,ap,0.0008052617897033742,0.0005329289242939466,0.001116026476130692,100,"sigma=15,a=1",secondary/exploratory
tv,noisy,background_rmse_ratio,-0.805508980198028,-0.8060044645214964,-0.8050252897201225,100,"sigma=15,a=1",secondary/exploratory
beta_0.2,proposal,ap,-0.17099589108782362,-0.1929606515349966,-0.14937192106423478,100,"sigma=15,a=1",secondary/exploratory
tv,proposal,ap,0.030431310270179545,0.02648287940872854,0.034562072536546175,100,"sigma=15,a=1.5",secondary/exploratory
tv,fixed,ap,-0.0017155174000447093,-0.0020843810667520637,-0.001335578564000048,100,"sigma=15,a=1.5",secondary/exploratory
tv,noisy,background_rmse_ratio,-0.804296061035576,-0.8047584272940802,-0.8038429199146244,100,"sigma=15,a=1.5",secondary/exploratory
beta_0.2,proposal,ap,-0.03753140866797536,-0.0534305749393385,-0.02265680078268092,100,"sigma=15,a=1.5",secondary/exploratory
tv,proposal,ap,0.08824201460860853,0.0781344349998006,0.09907721709571249,100,"sigma=15,a=2",secondary/exploratory
tv,fixed,ap,-0.004393020594635184,-0.004932597164081519,-0.003854798131985932,100,"sigma=15,a=2",secondary/exploratory
tv,noisy,background_rmse_ratio,-0.8025585097480249,-0.8029842782228191,-0.8021504837833513,100,"sigma=15,a=2",secondary/exploratory
beta_0.2,proposal,ap,0.09040992845674206,0.07366464173215359,0.10698826317529214,100,"sigma=15,a=2",secondary/exploratory
tv,proposal,ap,-0.013005633407529568,-0.017236977105009765,-0.009144373540865754,100,"sigma=25,a=1",secondary/exploratory
tv,fixed,ap,0.007495579893914564,0.00581654270613261,0.009323831281791617,100,"sigma=25,a=1",secondary/exploratory
tv,noisy,background_rmse_ratio,-0.8019938658849932,-0.802235315720109,-0.8017576753226873,100,"sigma=25,a=1",secondary/exploratory
beta_0.2,proposal,ap,-0.39212584244121623,-0.41811169467015685,-0.36681487260391016,100,"sigma=25,a=1",secondary/exploratory
tv,proposal,ap,0.04625612851676258,0.04109492523830707,0.05146390854296773,100,"sigma=25,a=1.5",secondary/exploratory
tv,fixed,ap,-0.0005987894836380763,-0.001275790442453097,0.0001851669189857883,100,"sigma=25,a=1.5",secondary/exploratory
tv,noisy,background_rmse_ratio,-0.8008878422115001,-0.8010777941243266,-0.8007039823594932,100,"sigma=25,a=1.5",secondary/exploratory
beta_0.2,proposal,ap,-0.11596515283429171,-0.13771336528563888,-0.09479800358345271,100,"sigma=25,a=1.5",secondary/exploratory
tv,proposal,ap,0.10649242218761894,0.09595909756282811,0.117342169451248,100,"sigma=25,a=2",secondary/exploratory
tv,fixed,ap,-0.0022012253867683884,-0.00281339224431751,-0.0015704929619945992,100,"sigma=25,a=2",secondary/exploratory
tv,noisy,background_rmse_ratio,-0.7997357068628049,-0.7998913780191688,-0.799588979519365,100,"sigma=25,a=2",secondary/exploratory
beta_0.2,proposal,ap,0.04895504976924538,0.029655902999036397,0.06728800346140844,100,"sigma=25,a=2",secondary/exploratory
